# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	122887
#@/user_id	6af16447-f9f1-43b9-a6ee-fea5984459fe
bao bu bao bi 	暴不暴斃	c=1 d=9.83183e-213 t=103452
bao chi 	保持	c=4 d=2.25557e-40 t=103452
bao cun 	保存	c=29 d=1 t=107059
bao cun dao 	保存到	c=1 d=3.20934e-130 t=103452
bao cun xia lai 	保存下來	c=1 d=1.30304e-114 t=103452
bao cun zai 	保存在	c=1 d=5.92285e-133 t=103452
bao cuo 	報錯	c=14 d=3.22967e-19 t=103452
bao da 	報答	c=0 d=2.46801e-188 t=103452
bao da ni 	報答你	c=1 d=2.48038e-187 t=103452
bao da tui 	包大腿	c=1 d=6.59608e-223 t=103452
bao dao 	保到	c=3 d=1 t=122590
bao dao 	報道	c=2 d=1 t=122591
bao de 	保的	c=2 d=2.58246e-44 t=103452
bao de 	報的	c=1 d=6.58753e-149 t=103452
bao de 	薄的	c=4 d=1.04643e-122 t=103452
bao di 	保底	c=3 d=3.83849e-18 t=103452
bao feng 	暴風	c=0 d=0.1 t=105421
bao feng ke ji 	暴風科技	c=1 d=1 t=105422
bao gao 	報告	c=9 d=0.0739031 t=103452
bao guan li 	包管理	c=3 d=0.1 t=114527
bao guan li qi 	包管理器	c=2 d=1.00001 t=116903
bao han 	包含	c=11 d=1 t=116147
bao han de 	包含的	c=1 d=4.13728e-118 t=103452
bao han le 	包含了	c=3 d=8.29073e-31 t=103452
bao he 	包河	c=0 d=8.66412e-109 t=103452
bao he wan da 	包河萬達	c=1 d=8.70754e-108 t=103452
bao hu 	保護	c=4 d=6.17467e-47 t=103452
bao hu xing 	保護性	c=1 d=3.66469e-44 t=103452
bao ji 	暴擊	c=0 d=6.05402e-127 t=103452
bao ji gong 	暴擊弓	c=3 d=1.91529e-116 t=103452
bao kuo 	包括	c=9 d=7.16922e-27 t=103452
bao le 	保了	c=2 d=3.65897e-56 t=103452
bao le 	包了	c=1 d=7.29944e-121 t=103452
bao le 	報了	c=2 d=1 t=103484
bao le 	爆了	c=1 d=0.1 t=104512
bao le yan 	保了研	c=2 d=7.60158e-55 t=103452
bao li 	暴力	c=0 d=0.1 t=120391
bao ling 	爆零	c=1 d=2.61429e-188 t=103452
bao long 	暴龍	c=0 d=5.22473e-41 t=103452
bao lu 	暴露	c=1 d=1.50339e-32 t=103452
bao lv 	爆率	c=1 d=6.54417e-42 t=103452
bao man 	爆滿	c=1 d=6.40129e-47 t=103452
bao ming 	報名	c=0 d=5.5739e-08 t=103452
bao ming qian 	報名前	c=1 d=7.46465e-149 t=103452
bao nuan 	保暖	c=1 d=1 t=103724
bao nuan xing 	保暖型	c=1 d=4.14362e-136 t=103452
bao ping an 	包平安	c=1 d=2.26319e-109 t=103452
bao ren 	保人	c=1 d=2.95321e-34 t=103452
bao shai 	暴曬	c=1 d=1 t=109116
bao shen me 	報什麼	c=1 d=7.5051e-95 t=103452
bao shi 	寶石	c=2 d=7.79622e-128 t=103452
bao shou 	保守	c=0 d=0.1 t=118151
bao shu 	報數	c=1 d=2.56909e-218 t=103452
bao song 	保送	c=1 d=6.4494e-135 t=103452
bao wei 	包圍	c=1 d=1.55961e-199 t=103452
bao wen 	報文	c=2 d=6.17915e-211 t=103452
bao xiao 	報銷	c=1 d=1.51402e-56 t=103452
bao xin yue 	包新月	c=8 d=2.70979e-78 t=103452
bao yan 	保研	c=26 d=1.5599 t=117886
bao yan de 	保研的	c=1 d=2.24623e-50 t=103452
bao yan le 	保研了	c=1 d=0.1 t=118170
bao yang 	包養	c=1 d=0.1 t=108632
bao yang wo 	包養我	c=1 d=1 t=108633
bao yi ge 	報一個	c=1 d=5.27562e-07 t=103452
bao ying 	報應	c=1 d=1.89585e-143 t=103452
bao you 	保佑	c=0 d=0.1 t=118112
bao yu 	暴雨	c=0 d=5.83269e-130 t=103452
bao yuan 	抱怨	c=2 d=2.27074e-61 t=103452
bao yuan guo 	抱怨過	c=1 d=2.28212e-60 t=103452
bao zha 	爆炸	c=6 d=1 t=116661
bao zhao 	鮑照	c=1 d=2.22306e-75 t=103452
bao zhe 	抱着	c=1 d=1 t=119729
bao zhen 	抱枕	c=1 d=1.07862e-08 t=103452
bao zheng 	保證	c=15 d=1 t=113877
bei 	倍	c=3 d=1 t=116432
bei 	備	c=3 d=6.34076e-95 t=103452
bei 	唄	c=141 d=0.302056 t=122159
bei 	盃	c=5 d=1.00007 t=121122
bei 	背	c=12 d=1.00004 t=112593
bei 	被	c=111 d=1.08415 t=121224
bei an 	備案	c=3 d=3.75383e-95 t=103452
bei bao 	背包	c=2 d=6.51696e-216 t=103452
bei bao 	貝寶	c=1 d=0.00115923 t=103452
bei bi po 	被逼迫	c=1 d=1.86528e-187 t=103452
bei bi yao 	唄必要	c=2 d=4.74219e-47 t=103452
bei chu lai 	背出來	c=1 d=3.31933e-56 t=103452
bei da hui lai le 	背打回來了	c=1 d=1.03316e-119 t=103452
bei dan ci 	背單詞	c=2 d=0.014235 t=103452
bei dao 	背到	c=0 d=0.1 t=112577
bei dao 	被盜	c=1 d=1 t=111109
bei dao de 	背到的	c=1 d=1 t=112578
bei de 	背的	c=0 d=1.96879e-147 t=103452
bei de shao 	背的少	c=1 d=1.97867e-146 t=103452
bei dian 	被點	c=2 d=8.97377e-94 t=103452
bei dong 	被動	c=0 d=3.29661e-35 t=103452
bei duo fen 	背多分	c=1 d=5.0447e-98 t=103452
bei e 	碑額	c=0 d=8.29418e-125 t=103452
bei e xin dao le 	碑額信道了	c=1 d=8.33574e-124 t=103452
bei fang 	被放	c=1 d=3.27605e-78 t=103452
bei fen 	備份	c=7 d=0.956415 t=116845
bei feng 	被封	c=3 d=1 t=114938
bei feng le 	被封了	c=1 d=1 t=121225
bei feng yin le 	被封印了	c=1 d=6.85636e-149 t=103452
bei ge 	悲歌	c=0 d=1.73009e-97 t=103452
bei ge li 	被隔離	c=2 d=2.08755e-41 t=103452
bei ge li le 	悲歌離了	c=1 d=7.69641e-97 t=103452
bei ge li le 	被隔離了	c=1 d=1.74747e-96 t=103452
bei gong 	北工	c=1 d=0.100001 t=104349
bei gong ye 	北工業	c=1 d=1 t=104350
bei gong ye 	唄工業	c=1 d=1 t=104349
bei guang 	背光	c=1 d=2.14155e-18 t=103452
bei hai dao 	北海道	c=1 d=7.22258e-26 t=103452
bei hang 	北航	c=1 d=1 t=118079
